Reciepe Name,Ingredients
Chamomile Vodka Cooler Recipe ,"For vodka:,250 Ml Vodka,3 Tbsp Chamomile (loose),For cocktail:,120 Ml Infused chamomile vodka,60 Ml Lemon juice,2 Tbsp Honey,For garnishing  Lemon wedge,For garnishing  Mint leaves"
मशरूम कटलेट्स रेसिपी (Mushroom cutlets   Recipe)  ,"400 gms मशरूम ( पोंछकर साफ करके काट लें),1 कप प्याज, कटा हुआ,2 टेबल स्पून तेल,1 टी स्पून जीरा,2 टी स्पून अदरक, बारीक कटा हुआ,1 कप आलू (उबालकर मैश किए हुए),2 टी स्पून धनिया पाउडर,2 टी स्पून आमचूर,1 1/2 टी स्पून नमक,2 टी स्पून हरी मिर्च,2  अंडे,1/2 कप मैदा,(कटलेट्स की कोटिंग के लिए)  ड्राई ब्रेड क्रम्बस,  तेल"
Vegetable Bruschetta Recipe ,"30 gms baguette (grilled slices),20 gms black olive tapenade,35 gms artichoke hearts, grilled,5 gms lettuce arugula (trummed),50 gms tomato confit,3 gms fresh basil leaves,3 gms mint leaves,20 gms zucchini,30 gms goat cheese,8 gms parmesan cheese shavings,20 gms mozzarella buffalo cheese"
स्पाइसी पास्ता रेसिपी (Spicy Pasta   Recipe)  ,"  पास्ता (पेने, फुसेली और स्पगैटी),  जैतून का तेल,2 टी स्पून लहसुन, टुकड़ों में कटा हुआ, एक चुटकी मिर्च, एक चुटकी नमक, टी स्पून कालीमिर्च,50-100 ग्राम ब्रॉकली, टुकड़ों में कटा हुआ,  पार्मेजन चीज, कद्दूकस"
Green Pea Upma Recipe ,"1 Cup Semolina, roasted,1/4 Cup Green peas,1  Onion, finely chopped,2 Nos Green chillies, finely chopped,2 Cups Hot water,For tempering:,1 Tbsp Extra virgin olive oil,3/4 tsp Mustard seeds,1 sprig  Curry leaves,1 sprig  Ginger, grated, To taste Salt,For garnishing:,2 sprigs  Fresh coriander leaves (optional),1/2 Tbsp Boiled peas,1 sprig  Curry leaves (sauteed)"
क्रीम आॅफ ब्रॉकली मशरूम सूप रेसिपी (Cream of broccoli mushroom soup   Recipe)  ,"100 ग्राम (धुलकर कटी हुई)  ब्रॉकली ,6 (धोकर कटी हुई)  मशरूम ,1 टी स्पून तेल,1 टी स्पून जीरा,4-6  साबुत कालीमिर्च, स्वादानुसार नमक,गार्निशिंग के लिए   क्रीम ,गार्निशिंग के लिए   हरा धनिया"
शेफर्ड सैलेड (टमाटर खीरा सैलेड) रेसिपी (Shepherds salad (tamatar-kheera salaad)   Recipe)  ,"  1 खीरा छीलकर कटा हुआ,1 बड़ा प्याज,2  टमाटर, टुकड़ों में कटा हुआ,1  हरी मिर्च, कटा हुआ,3-4  लहसुन की कलियां, टुकड़ों में कटा हुआ,4 टेबल स्पून पासर्ले,2 टेबल स्पून जैतून का तेल,2 टेबल स्पून नींबू का रस,  नमक और कालीमिर्च "
रेड वेलवेट पेस्ट्री रेसिपी (Red Velvet Pastry   Recipe)  ,"सूखी सामग्री:,400 ग्राम प्लेन केक आटा,10 ग्राम कोको पाउडर अनस्वीटेंड,5 ग्राम बेकिंग सोडा, एक चुटकी नमक,गीली सामग्री:,115 ग्राम मक्खन, बिना नमक के,330 ग्राम कैस्टर शुगर,2  अंडे,250 ml (मिली.) वेजिटेबल आॅयल,1 टी स्पून सफेद सिरका,2 टी स्पून वनीला एक्ट्रैक्ट,250 ml (मिली.) बटरमिल्क,2 टेबल स्पून रेड​ लिक्विड फूड कलर,फ्रॉस्टिंग:,400 ग्राम फिलाडेफिया ​क्रीम चीज,115 ग्राम मक्खन,1 ½ टी स्पून वनीला एक्सट्रैक्ट,450 ग्राम आइसिंग शुगर "
Fried Onion Rings Recipe ,"For Maida Batter:,1 Cup Maida,1/2 tsp Salt,1/2 tsp Baking Powder,1 tsp Garlic Powder,1 tsp Black Pepper Powder,1 tsp Oregano,1 tsp Olive Oil,1 Tbsp Milk,1/2 Cup Water,For Egg Mix:,1  Egg White,1/4 tsp Salt,1/2 tsp Black Pepper Powder,For Onion Rings:,  Onions,  Bread Crumbs"
Ghyoor Recipe ,"  1 1/2 cup maida,  Salt, to taste,  1 1/2 cup water,  Ghee to shallow fry"
Bamboo Biryani Recipe ,"500 gms chicken,2 tbsp salt,1 tsp black pepper powder,1/2 tsp turmeric powder,1 tsp red chilli powder,1 tsp coriander seeds powder,1/2 tsp cumin seeds,1 tsp biryani masala,2 inch pieces  ginger,10  Garlic cloves,4  Green chillies,  Coriander leaves,  Mint leaves,1/2 cup curd,2 cups basmati rice,4 tsp ghee/oil,  Whole spices,  Saffron water,  Fried onions"
बिरयानी मसाला रेसिपी (Biryani masala   Recipe)  ,"  सभी मसालों के 60 दाने,4  चक्रफूल,16  हरी इलाइची,4  जावित्री,1  साबुत जायफल,1200 W   माइक्रोवेव"
Steam Bunny Chicken Bao Recipe ,"12  Buns,For the dough:,400 gms all purpose white flour,7 gms dry yeast,5 gms sugar,1/2 tsp salt,  warm water,For the filling:,150 gms chicken mince,2 large eggs,2 tsp soy sauce,1 tsp sugar,1 tsp sesame oil,5 ml worcestershire sauce,3 tbsp chives, finely chopped,20 gms aromat powder"
Compressed Melon Sliders Recipe ,"150 Gram Watermelon,100 Gram Beans sprout,50 Gram Tamarind chutney,30 Gram Mint chutney,100 Gram Yogurt,20 Gram Baby spinach,  Water melon juice,5 Gram Soy lecithin"
पनाडा सॉस रेसिपी (Panada sauce   Recipe)  ,"1/3 कप मैदा,3 टेबल स्पून मक्खन या तेल,1 कप दूध ,1 टी स्पून नमक"
Ca Cang Kho Recipe ,"15 gms dice onion,5 gms minced garlic,30 gms fresh coriander,15 gms spring onion,200 gms sole fish slice,5 gms dark soya sauce,5 gms black pepper (crushed), roasted,3 gms oyster sauce,15 ml oil,20 gms tempura flour"
अमरूद की चटनी रेसिपी (Guava Chutney   Recipe)  ,"250 gms अमरूद , बारीक कटा हुआ,1/2 टी स्पून नमक,1 टेबल स्पून नींबू का रस,1  हरी मिर्च, टुकड़ों में कटा हुआ,1 टेबल स्पून अदरक, टुकड़ों में कटा हुआ,1 टी स्पून लाल मिर्च,2 टेबल स्पून हरा धनिया, टुकड़ों में कटा हुआ"
पूरी रेसिपी (Poori (puri)   Recipe)  ,"250 ग्राम गेंहू का आटा ,75 ग्राम सूजी,30 ml (मिली.) तेल,  नमक,  तेल (तलने के लिए)"
Balti Meat Recipe ,"For Frying:,11-12 Tbsp Refined oil,2 Gram Black cardamoms,2 Gram Green cardamoms,1 Gram Mace,1 Gram Clove,1 Gram Cinnamon stick,1 Gram Black pepper corn,6-7 Tbsp Ginger garlic paste,3 Gram Ginger,2 Gram Green chilies,1000 Gram Mutton curry cut,16-17 Tbsp Brown onion paste,1-2 tsp Salt,2-3 tsp Kashmiri red chili powder,For Cooking:,20 Tbsp Tomato Puree,1 tsp Garam masala powder,3 Tbsp Coriander powder,1 Tbsp Cumin powder"
Almond and Mushroom Soup Recipe ,"1/2 Cup almonds, soaked and peeled,1/2 cup milk,50 gms mushrooms (wiped) and chopped fine,2 tbsp butter,4 tbsp maida,4 cups water,2 tsp salt,1/4 tsp white pepper powder,4 tbsp cream"
Devils Love Bite Recipe ,"5  strawberries (pureed),30 ml white rum,1 tsp sugar syrup,1/2  lemon (juiced)"
दही लहसुनी चिकन रेसिपी (Dahi Lasooni Chicken   Recipe)  ,"170 gms चिकन (बोनलेस क्यूब्स साइज),1 टेबल स्पून चीज, कद्दूकस,2 टेबल स्पून लहसुन, टुकड़ों में कटा हुआ,1 टी स्पून अदरक लहसुन का पेस्ट,  हरा धनिया, टुकड़ों में कटा हुआ,1 टी स्पून हरी मिर्च पेस्ट,1 टी स्पून क्रीम,4 टेबल स्पून दही ,1 टी स्पून काजू पेस्ट, स्वादानुसार नमक, स्वादानुसार काला नमक,1/2 टी स्पून गरम मसाला,1/2 टी स्पून चाट मसाला,1 टी स्पून मक्खन"
थाई पाइनएप्पल राइस रेसिपी (Thai pineapple rice   Recipe)  ,"250 gms चावल,80 ग्राम प्याज,2  थाई अदरक, टुकड़ों में कटा हुआ,5  फ्रेश हल्दी,2  कढ़ीपत्ता,2  लेमनग्रास,100 ml (मिली.) नारियल मिल्क, स्वादानुसार नमक,2 टी स्पून हॉट करी पाउडर,40  पाइनएप्पल के टुकड़े,20 ml (मिली.) तेल,300 ml (मिली.) पानी,2 टी स्पून हल्दी पाउडर,1 टुकड़े ताजा पाइनएप्पल"
Microwave Cookies Recipe ,"180 Gram Flour,1  Egg,225 gram Butter,1/2 cup Sugar, powdered,1 tsp Vanilla essence,1200 W Microwave"
आमंड एंड होली ठंडाई रेसिपी (Almond & holy basil thandai   Recipe)  ,"2 टेबल स्पून बादाम, soaked,2 टेबल स्पून खरबूजे के बीज, soaked,1 टेबल स्पून खसखस, soaked,1/2 कप बादाम सिल्वर,1/4 कप शुगर, एक चुटकी केसर,4  होली बैजल,2 कप दूध,1/2 टी स्पून हरी इलाइची पाउडर,1/2 टी स्पून कालीमिर्च,1/4 कप सौंफ "
"बीबीक्यू (बार्ले, बीट, क्निोआ) रेसिपी (Bbq (barley, beets, quinoa)   Recipe)  ","50 gms बाइट बार्ले ,35 ग्राम क्निोआ,75 ग्राम बेबी बीट,40 ग्राम सेब,50 ग्राम बेबी अर्गुला,1  नींबू,2 ग्राम डिजॉन मस्टर्ड,2 ग्राम पॉम्परी मस्टर्ड, एक चुटकी नमक, स्वादानुसार काली सरसों,20 ग्राम माइक्रोग्रीन्स"
टू-इन-वन फिरनी (शुगर फ्री) रेसिपी (Two in one phirni sugar free   Recipe)  ,"5 कप स्किम्ड दूध,1/3 कप (करीब 60 ग्राम, आधे घंटे के लिए गर्म पानी में भीगे हुए)  चावल ,छह (कुटी हुई, केवल बीज़)  छोटी इलायची ,¾ कप आर्टीफीशियल स्नीटनर ,दो बड़े चम्मच (उबाल कर पेस्ट के रूप में तैयार की गई)  पिस्ता, स्वादानुसार हरा रंग,¼   गुलाब सार,10 (उबाल कर कटे हुए)  बादाम ,(गार्निशिंग के लिए)   चांदी का वर्क"
Prawn Pie Recipe ,"2 Tbsp Oil,450 Gram Prawns,1  Onion, chopped,2 Tbsp Flour,1 1/2 Cups Heavy cream, To taste Salt and Pepper,For the Pie Dough,350+ extra Gram All-purpose flour,1 tsp Salt,275 Gram Butter,5 Tbsp Ice Cold Water,1  Egg, mashed"
मछली का सालन रेसिपी (Fish salan   Recipe)  ,"1 बड़ा किंग फिश,1/2 kg पके टमाटर,2 टेबल स्पून देसी घी,2 टी स्पून अदरक-लहसुन का पेस्ट,1 बड़ा प्याज, बारीक कटा हुआ,2 टी स्पून हल्दी पाउडर,1 टी स्पून लाल मिर्च पाउडर,1 टी स्पून कालीमिर्च पाउडर,1 टी स्पून गरम मसाला,मैरीनेशन के लिए:,1 टेबल स्पून सौंठ,1 टी स्पून हल्दी पाउडर,2 टी स्पून सौंफ पाउडर,1/2 टेबल स्पून रिफाइंड आॅयल,  नमक ,  पानी"
तैबरिज कोफ्ता रेसिपी (Tabriz kofta   Recipe)  ,"कोफ्ता बनाने के लिए:,500 ग्राम चिकन कीमा,50 ग्राम चना दाल,50 ग्राम उबले हुए चावल,20 ग्राम नमक,10 ग्राम केसर,1  हरी मिर्च, टुकड़ों में कटा हुआ,3  उबले हुए अंडे,20 ग्राम किशमिश,10 ग्राम अखरोट,1  कच्चा अंडा,10 ग्राम काली मिर्च पाउडर,20 ग्राम ड्राई ए​परिकॉट ,ग्रेवी के लिए:,300 ग्राम प्याज, कटा हुआ,200 ml (मिली.) जैतून का तेल,500 ml (मिली.) टोमैटो प्यूरी,20 ग्राम नमक,1 लीटर चिकन स्टॉक,30 ग्राम देगी मिर्च,100  काजू,20 ग्राम अदरक,40  लहसुन,5 ग्राम बैजल लीव्ज "
Matcha Tea Macarons Recipe ,"For Macarons:,5  Egg whites,20 gms breakfast sugar,368 gms icing sugar,425 gms almond powder,1 tbsp matcha powder,For white chocolate ganache:,60 ml heavy cream,170 gms white chocolate, chopped"
Mummy Dogs Recipe ,"For Breadstick DoughL,1 Cup Warm Water,3 Tbsp Brown Sugar,1 Tbsp Salt,1/4 Cup Oil,3 Cups Bread flour,2 1/2 Tbsp Yeast,  For rolls:,11 Ounce  Breadstick dough (refrigerated),8  Hot Dogs,  Mustard,  Poppy Seed"
Hawaiin Papaya Salad Recipe ,"1 Small papaya,4  Fresh lime (juiced),3 cups watermelon balls or small squares (seedless),2 cups fresh pineapple chunks,1 cup coconut (unsweetened), grated,3 cups vanilla flavoured yogurt (low fat)"
Nihari Mutton Recipe ,"  6 trotters - cleaned and ready to cook,  1 cup oil,  2 cups onions - sliced fine,  2 Tbsp ginger - garlic paste,  1/4 tsp turmeric,  1 Tbsp coriander powder,  1 tsp chilli powder,  1/4 tsp cinnamon powder,  2 tsp salt or to taste,  6 cloves,  6 black cardamom - slightly crushed,  8 marrow bones,  1/4 cup lemon juice,  1/2 cup coriander leaves - chopped,  Mint leaves for garnish"
जेड एप्पल सैलेड विद विंटर ग्रीन्स रेसिपी (Zad Apple Salad With Winter Greens   Recipe)  ,"  जेड एप्पल,  आर्गुला,  बेरिज़,  स्प्राउट्स,  ऑर्गेनिक गोट चीज,  ऑरेंज सेगमेंट,  तिल"
Ney Appam Recipe ,"1 Cup raw rice,3/4 cup jaggery,2 small banana,1/2  baking soda,1 tbsp coconut, grated,1/2 tsp cardamom powder,  ghee/oil"
Masala Anda Bhurji Recipe ,"2 tsp oil,3 tsp butter,1 tsp garlic,2 tsp green Chillies,2 tsp ginger,6-7  Curry Leaves,1/2 cup onion, chopped,3 tsp salt,2 tsp turmeric powder,2 tsp chilli powder,1 1/2 tsp pav bhaji masala,1 tsp coriander stems,1/2 cup tomatoes, chopped,4  Eggs,  Coriander leaves"
Zaitooni Subz Biryani Recipe ,"1/4 Cup basmati rice, soaked,10  Green olives,10  Black olives,4  Carrots (cut into ½ inch cube),10  Babycorn (cut into ½ inch cubes),2  Zucchini (cut into ½ inch cubes),1/2 cup diced mushroom,10-12  Broccoli florets,1 cup green peas (shelled),  Few threads of saffron,50 ml milk,  Oil (for frying),4 large onion, sliced,2  Green cardamom,1  Black cardamom,4  Cloves,1/2 inch  cinnamom,1  Bay leaf,1 1/2 tbsp red chilli pickle paste,4-5  green chilli, chopped,1 tsp coriander powder,1 tsp turmeric powder,1 tsp red chilli powder,3/4 tsp garam masala powder, to taste salt,2 tbsp fresh coriander leaves, chopped,2 tbsp fresh mint, chopped,1-2 drops  kewra essence,  Ginger (cut into thin strips)"
Hot Cross Buns Recipe ,"  For the dough:,  10 gm fresh yeast or 1 1/2 tsp dried active yeast,  85 ml milk,  250 gm flour,  35 gm sugar,  3 gm salt,  2 eggs,  125 gm butter, cold,  1 egg, for the egg wash,  For the Fruit and Spice Mix:,  12 gm candied cherries, chopped,  40 gm sultanas, chopped,  40 gm candied orange peel, chopped,  40 gm almonds, blanched, peeled and chopped,  30 ml dark rum,  5 ml vanilla essence,  2 gm nutmeg, ground,  4 gm cinnamon, ground,  2 gm cardamom, ground,  For the Glaze:,  150 gm sugar,  100 ml water,  2 oranges, zested"
Corn and Avocado Salad Recipe ,"  1 boiled corn (off the cob),  1 onion, diced,  1/2 red bell pepper, diced,  1/2 yellow bell pepper, diced,  3-4 cherry tomatoes,  1/2 chilli, chopped,  2 hearts of palm (Fruits from the palm tree),  1 Tbsp coriander, chopped,  1 avocado, chopped (ripe),  Juice of 1 lemon,  Olive oil, to drizzle,  Salt, to taste,  Pepper, to taste"
Dahi Chicken Recipe ,"2 Cups Dahi,1 tsp Cumin Powder,1 tsp Garlic Paste,1/4 tsp Garam Masala,1/4 tsp Turmeric Powder,1/2 tsp Red Chilli Powder,1 tsp Salt,500 Gram Boneless Chicken,1 Tbsp Oil,5 Nos Green Chilli,2 Nos Onion, chopped,1 Nos Tomato, chopped"
आलू मटर पुलाव रेसिपी (Aloo matar ka pulao   Recipe)  ,"2 कप बासमती चावल,2 टेबल स्पून घी,1 टेबल स्पून जीरा,1 टेबल स्पून अदरक, गुच्छा,1 कप मटर (छीले हुए),1 कप आलू (छीलकर कटे हुए),2 टेबल स्पून धनिया पाउडर,1 टी स्पून गरम मसाला,1 टेबल स्पून नमक,1 टी स्पून हल्दी"
Plum and Cherry Roasted Chicken Recipe ,"1/2 Tbsp Butter, unsalted,1/3 Cup Carrot (finely diced),1/3 Cup Onion (finely diced),1/3 Cup Celery (finely diced),2  Fresh thyme sprigs,2.25 Kg Whole free range chicken ,  Pepper (freshly ground),  Parsley stems,  Celery leaves,6  Lemon slices (1/8 inch thick),1/2 Cup Onion, sliced,1/2 Cup Carrot, sliced,1 Tbsp Fresh lemon juice,3/4 Cup Chicken stock/broth,10  Plums (cut),20 Nos Fresh cherries"
Murgh Malai Tikka With Mint Chutney Recipe ,"150 gms chicken breast,25 gms ginger and garlic paste,10 gms chilli,10 gms coriander,100 ml cream,10 gms mint,5  Lemons,1 tbsp chaat masala ,1 gms sugar,1  Raw mango,1 ml ghee, to taste salt,10 ml oil,25 gms bhel"
Mocha Cashew Butter Recipe ,"3 Cups Cashews, salty,1/2 Cup Butter (softened),1/2 Cup Chocolate chips (semi sweet),2 tsp Instant coffee granules,2 tsp Water"
मालाबारी परोटा रेसिपी (Malabari parotta   Recipe)  ,"2 कप मैदा,(आटा गूंथने के लिए)  पानी ,  घी,डस्टिंग के लिए  सूखा आटा"
केसर पिस्ता फिरनी रेसिपी (Kesar Pista Phirni  Recipe)  ,"  केसर,10-12  पिस्ता (छिला और कटा हुआ), हल्का उबला,1 लीटर स्किम्ड दूध,3 टेबल स्पून मोटे चावल,3/4 टेबल स्पून हरी इलायची पाउडर,3 टेबल स्पून लो-कैलोरी स्वीटनर"
Paneer Tikka Kathi Roll Recipe ,"2 Cups Maida (refined flour),1 tsp Salted yogurt (to knead the dough),To help rolling  Dry flour  ,For frying the parathas  Ghee,4  Eggs (slightly beaten),For filling  Paneer tikkas ,1/2 cup Onions, finely chopped, to taste Green chillies, finely chopped, to taste Salt,2 tsp Lemon juice,  Green chutney"
अवधी गोश्त कोरमा रेसिपी (Awadhi gosht korma   Recipe)  ,"1 kg मटन,2 टेबल स्पून रिफाइंड तेल,3-4  हरी इलाइची,1 टी स्पून साबुत दालचीनी,2  बड़ी इलाइची,2-3  तेजपत्ता,1 टी स्पून हल्दी पाउडर,1/4  कप पानी,1 टी स्पून अदरक-लहसुन का पेस्ट,1 टी स्पून धनिया पाउडर,1 टी स्पून लाल मिर्च पाउडर,1 टी स्पून लहसुन (कुटा हुआ),1 टी स्पून प्याज, तला हुआ,3 टेबल स्पून दही,2 टी स्पून गुलाब जल,2 टी स्पून गरम मसाला,1/2 टी स्पून जायफल-धनिया पाउडर,1/2 टी स्पून केसर, soaked, स्वादानुसार नमक,कुछ बूंदें   इत्र,(गूंथा हुआ)  आटा ,गार्निशिंग के लिए   हरा धनिया,गार्निशिंग के लिए   अदरक  , जूलियन"
चना कुलचा रेसिपी (Chana kulcha   Recipe)  ,"1 kg चने,1 टी स्पून बेकिंग सोडा,मसाले के लिए:,3 टी स्पून नमक,2 टी स्पून आमचुर पाउडर,1 टी स्पून लाल मिर्च पाउडर,2 टी स्पून कालीमिर्च पाउडर,2 टी स्पून जीरा पाउडर,2 टी स्पून लौंग पाउडर,2 टी स्पून सौंठ,2 टी स्पून धनिया पाउडर,2 टी स्पून अजवाइन पाडउर,2 टी स्पून दालचीनी पाउडर"
Verde Rang Recipe ,"45 Ml tequila,15 ml green chartreuse,20 gms thandai mix,1  egg white,10 ml simple syrup,5 ml coconut milk,  Cinnamon stick with cranberries (for garnishing)"
वेजिटेरियन खाओ सुई रेसिपी (Vegetarian khow suey   Recipe)  ,"4-5  बेबी कॉर्न, टुकड़ों में कटा हुआ,2 मीडियम गाजर, टुकड़ों में कटा हुआ, ¼ मीडियम आकार की (फूल अलग किए हुए)  फूलगोभी ,¼ मीडियम आकार की (फूल अलग किए हुए)  ब्रॉकली,दो (मीडियम आकार की, आधी कटी हुई)  पीली ज़ुकीनी ,5-6 (तिरछी कटी हुई)   फ्रैंच बीन,1 मीडियम प्याज़ , बारीक कटा हुआ,2 टेबल स्पून लहसुन , बारीक कटा हुआ,1 ½ इंच  अदरक , टुकड़ों में कटा हुआ,2 इंच  लेमनग्राम , बारीक कटा हुआ,1/2 टी स्पून हल्दी पाउडर ,1 टेबल स्पून तेल ,2 टेबल स्पून बेसन ,1 कप नारियल का दूध, स्वादानुसार नमक ,1 टी स्पून चीनी,क्रश किए हुए (स्वादानुसार)  काली मिर्च के दाने ,1/3 कप मूंगफली , रोस्टेड,100 ग्राम नूडल्स, 100 ग्राम (उबले हुए)  ग्लास नूडल्स,1/2 कप टोफू, टुकड़ों में कटा हुआ,2 टेबल स्पून प्याज़, रोस्टेड,1 टेबल स्पून फ्राइड लहसुन, बारीक कटा हुआ,1 टी स्पून लाल मिर्च फ्लेक्स,1 टी स्पून नींबू का रस ,1/2 टी स्पून चिली ऑयल,टॉपिंग के लिए  धनिये के पत्ते"
Chickpea Soup Recipe ,"1 Tbsp Olive oil,2-3  Garlic cloves, chopped,1 Medium Onion,1/2 Cup Leeks, finely chopped,1/2 Cup Celery, finely chopped,1/2 Cup Chives, finely chopped,Few  Rosemary leaves,Few sprigs  Thyme,Few sprigs  Sage,1/4  Zucchini, finely chopped,1/4  Yellow squash, finely chopped,1 Litre Chickpea stock,1/4  Red bell pepper, finely chopped,1/4  Yellow bell pepper, finely chopped,1/4  Green bell peppers, finely chopped,150 Gram Chickpeas (skinned),1 tsp Red chilli flakes,20 Ml White wine,30-40 Gram Cheddar cheese, grated"
खजूर मकुटी (खजूर की खीर) रेसिपी (Khazur Makuti (Khajur Ki Kheer)  Recipe)  ,"1 लीटर फुल क्रीम दूध,60 gms मूंग दाल (भिगो कर कुटी हुई),30 gms चावल (भिगो कर कुटे हुए),150 gms चीनी,75 gms खोया,100 gms खज़ूर (आधा कटा हुआ),25  किशमिश,25 gms बादाम,1/2 टी स्पून हरी इलायची,  केसर"
Aloo ka Parantha (Vrat) Recipe ,"  2 cups kootoo ka atta,  1 large potato, boiled, peeled and mashed smooth,  1 tsp senda namak (rock salt),  Ghee for frying the paranthas,  Dry flour for dusting,  For the filling:,  Mashed potatoes, with senda namak (rock salt) and chilli powder mixed into it, along with lemon juice, hara dhania (coriander leaves) and green chillies if desired."
Classic Tiramisu Recipe ,"1.5 Kg mascarpone cheese,1 litre French cream,12  Egg yolk golden,300 gms sugar,12  egg white,185 ml Kahlua liquer,20  Ladyfinger cookies"
Stuffed Farsi Puri Recipe ,"  250 gm maida,  1 tsp salt,  4 Tbsp ghee,  Oil- for deep frying,  For the Filling:,  3 Tbsp besan,  1 Tbsp black pepper powder,  1 tsp chilli powder,  1 tsp jeera powder,  Salt to taste,  2 Tbsp oil,  1 tsp haldi powder,  1 Tbsp dhania powder"
Pomegranate and Kiwi Salad Recipe ,"  1/4 cup of fresh pomegranate kernels,  2 medium kiwis,  5-7 romaine lettuce leaves,  8-10 iceberg lettuce leaves,  5-7 lollo rosso lettuce leaves,  50 gm of cottage cheese (paneer),  Dressing:,  5-7 garlic cloves,  1 tsp of mustard seeds,  8-10 fresh mint leaves,  1 Tbsp orange juice,  Juice of 1/2 lemon,  2 Tbsp of extra virgin olive oil,  Salt to taste,  Black pepper powder to taste"
Rocket Salad Recipe ,"  A bunch of rocket leaves,  1 bowl watermelon cubes,  2 tomatoes diced,  1/2 a cup red pomegranate kernels,  For the dressing:,  1 Tbsp mustard,  1/2 a cup of orange juice,  2 Tbsp Worcestershire sauce,  1 Tbsp honey,  5 Tbsp lemon juice,  Salt & pepper to flavor"
Turkish Tulumba Recipe ,"For Dough:,250 Gram Flour,2 Tbsp Oil, A pinch of Salt,250 Ml Water,3 Medium Egg,5 Gram Cornstarch,For the Syrup:,500 Gram Sugar,500 Ml Water,2 Pieces Cinnamon Sticks, small,1  Lemon, sliced,50 Ml Rose Water"
Peas and Potato Soup with Salsa Recipe ,"  1 cup frozen green peas,  2 medium potatoes,  1 tbsp oil,  ½ medium onion,  1 bay leaf,  Salt to taste,  ½ cup milk,  Melba toast as required,  Fresh mint sprig for garnishing,  For the Mango salsa,  ½ ripe mango, peeled,  4-5 fresh mint leaves,  1 fresh red chilli,  1 tsp brown sugar,  Salt to taste,  2 Tbsp lemon juice"
Chicken Quinoa Biryani Recipe ,"2 Cups Quinoa, blanched,2  Onions, sliced,1  Tomato, chopped,3  Green Chillies(slit open),1 tbsp Ginger Garlic paste,1/4 cup Mint Leaves, chopped,1/4 cup Coriander Leaves/Cilantro, chopped,1/2 cup Fresh Yogurt/Curd(beaten),1/2 tsp Turmeric Powder,1/2 tsp Chilli Powder, to taste Salt,To Marinate:,250 gram Chicken (cut into pieces),1/4 tsp Garam Masala Powder,1/4 tsp Ginger Garlic paste,1 tbsp Yogurt/Curd,1 tsp  Chilli Powder,1 tsp Coriander Powder,1/2 tsp Salt,To Temper:,3 tbsp Oil,4  Cloves,1 small Bay leaf ,3  Cardamom"
Zucchini Halwa Recipe ,"1/2 Kg zucchini,1/2 litre full fat milk,60 gms ghee,1 tsp cardamom powder,120 gms sugar,125 gms khoya, for garnishing cherry and kesari malai"
Masala Papad Recipe ,"1  tomato, chopped,1  onion, chopped,1 tbsp coriander leaves, chopped,2  Lemon,1 tsp salt,1 tsp pepper,  Papad"
Gluten-Free Amaranth Tabbouleh Recipe ,"  1 cup amaranth,  1/2 cup boiled chickpeas,  1/2 cup cucumber,  1/2 cup of onion,  1/2 cup of tomato,  1/2 cup of mint leaves,  1/2 cup coriander,  1 cup flat leaf parsley,  1 tsp lemon rind,  2 tsp lemon juice,  2 Tbsp olive oil,  1 tsp sumac powder,  3 tsp pine nuts,  salt as per taste"
सिंधी कढ़ी रेसिपी (Sindhi Kadhi   Recipe)  ,"1 1/2 टी स्पून रिफाइंड तेल,3 टेबल स्पून बेसन,1 टी स्पून मेथी दाना,1 1/2 टी स्पून हल्दी पाउडर,3 लीटर पानी,2  आलू,500 ग्राम टमाटर ,1  ड्रमस्टिक,1 बड़ा कमल ककड़ी,  1 बड़ी या 2 छोटी फूलगोभी,200 ग्राम अरबी,200 ग्राम भिंडी,  नमक,  3 नींबू के आकार के इमली बॉल्स (इमली को 1 कप गर्म पानी में 2 घंटे के लिए भिगो दें),तलने के लिए  तेल ,1 1/2 टी स्पून सरसों के दाने,20-25  कढ़ीपत्ता,1 1/2 टी स्पून जीरा,2 टी स्पून लाल मिर्च पाउडर,2 टेबल स्पून हरा धनिया"
ग्रिल्ड कॉर्न एंड टोमैटो सैलेड रेसिपी (Grilled corn and tomato salad   Recipe)  ,"विनेग्रेरट के लिए:,1/2 टी स्पून जीरा पीसा हुआ,1/2 टी स्पून धनिया पीसा हुआ,20 ml (मिली.) कनोला आॅयल,1 टी स्पून नींबू का छिलका,1  लहसुन की कलियां,सलाद के लिए:,  कॉर्न के दाने,2 कप चेरी टमाटर ,1/2 कप लाल प्याज,  जैतून बीज निकले हुए ,1  लैट्यूस के पत्ते, गुच्छा,  हार्ड ब्याल अंडे"
खट्टे चने रेसिपी (Khatte Channe   Recipe)  ,"2 कप काबुली चने (पूरी राते भीगे हुए),2 टी स्पून नमक,2 टी स्पून जीरा,1 कप प्याज,1 टेबल स्पून अदरक, बारीक कटा हुआ,1 टी स्पून लहसुन, बारीक कटा हुआ,1 टेबल स्पून धनिया पाउडर,1 टी स्पून गरम मसाला,1 टी स्पून लाल मिर्च पाउडर,1/2 टी स्पून हल्दी पाउडर,1 टेबल स्पून इमली पेस्ट,1/2 टी स्पून पुदीने के पत्ते, बारीक कटा हुआ,3-4  हरी मिर्च,गार्निश के लिए  हरा धनिया"
Candied Ginger Recipe ,"  2 cups ginger-scraped and sliced into broad slices,  350 gm sugar"
